City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Maryville,US,2021-07-11 19:01:04,35.7565,-83.9705,87.39,78,47,20.0
89,Fillan,NO,2021-07-11 19:01:04,63.6064,8.9696,63.03,81,50,15.41
90,Pangody,RU,2021-07-11 18:57:57,65.85,74.4859,47.32,71,30,13.65
91,Saint-Philippe,RE,2021-07-11 18:56:21,-21.3585,55.7679,69.35,77,58,12.82
92,Cape Town,ZA,2021-07-11 18:56:36,-33.9258,18.4232,56.88,82,20,1.99
93,Rundu,NA,2021-07-11 19:01:05,-17.9333,19.7667,58.26,31,0,4.03
94,Mar Del Plata,AR,2021-07-11 18:54:24,-38.0023,-57.5575,61.12,48,0,11.99
95,Bethel,US,2021-07-11 18:58:47,41.3712,-73.414,76.93,84,100,1.01
96,Oistins,BB,2021-07-11 19:01:06,13.0667,-59.5333,81.23,79,89,22.44
97,Qaanaaq,GL,2021-07-11 18:56:41,77.484,-69.3632,39.22,64,26,3.42
98,Kabalo,CD,2021-07-11 19:01:06,-6.05,26.9167,75.54,26,6,4.09
99,Kargil,IN,2021-07-11 19:01:07,34.5667,76.1,62.58,52,0,8.95
100,Mount Gambier,AU,2021-07-11 18:58:29,-37.8333,140.7667,51.71,62,75,13.8
101,Kaitangata,NZ,2021-07-11 18:56:22,-46.2817,169.8464,39.92,81,100,8.46
102,Burnie,AU,2021-07-11 18:59:22,-41.0667,145.9167,51.93,87,100,7.72
103,Sioux Lookout,CA,2021-07-11 19:01:08,50.1001,-91.917,90.48,21,0,7.18
104,Lompoc,US,2021-07-11 18:58:53,34.6391,-120.4579,94.01,57,56,4.0
105,Beringovskiy,RU,2021-07-11 18:58:48,63.05,179.3167,57.42,66,73,3.4
106,Alice Springs,AU,2021-07-11 18:56:11,-23.7,133.8833,53.15,47,5,8.05
107,Tasiilaq,GL,2021-07-11 18:57:56,65.6145,-37.6368,41.74,98,100,14.34
108,Lavrentiya,RU,2021-07-11 18:57:49,65.5833,-171.0,44.89,89,100,4.38
109,Rawson,AR,2021-07-11 18:57:59,-43.3002,-65.1023,52.93,47,100,11.07
110,Labuhan,ID,2021-07-11 19:01:09,-6.8844,112.2051,77.9,82,4,8.48
111,Muscat,OM,2021-07-11 18:56:27,23.6139,58.5922,91.08,66,43,10.94
112,Carnarvon,AU,2021-07-11 18:56:28,-24.8667,113.6333,62.67,81,40,11.5
113,Stykkisholmur,IS,2021-07-11 19:01:09,65.0757,-22.7297,56.8,74,100,3.33
114,Lebu,CL,2021-07-11 18:56:29,-37.6167,-73.65,52.14,67,0,15.21
115,Penha,BR,2021-07-11 19:01:10,-26.7694,-48.6458,77.72,70,0,4.07
116,Bengkulu,ID,2021-07-11 18:57:01,-3.8004,102.2655,76.08,88,100,4.72
117,Pedernales,DO,2021-07-11 19:01:10,18.0384,-71.744,88.09,52,26,7.58
118,Arraial Do Cabo,BR,2021-07-11 18:58:20,-22.9661,-42.0278,78.76,64,0,11.5
119,Inhambane,MZ,2021-07-11 18:59:25,-23.865,35.3833,60.78,88,0,4.61
120,Boyuibe,BO,2021-07-11 19:01:11,-20.4167,-63.2833,79.83,46,100,13.78
121,Tuktoyaktuk,CA,2021-07-11 19:01:11,69.4541,-133.0374,46.78,89,100,16.13
122,Aksu,CN,2021-07-11 19:01:12,41.1231,80.2644,80.64,31,59,9.86
123,Kununurra,AU,2021-07-11 18:59:10,-15.7667,128.7333,58.98,77,15,0.0
124,San Patricio,US,2021-07-11 18:57:36,28.017,-97.5169,91.02,60,100,17.0
125,Sorong,ID,2021-07-11 19:01:12,-0.8833,131.25,78.89,85,85,3.98
126,Sinnamary,GF,2021-07-11 19:01:13,5.3833,-52.95,82.02,75,64,7.78
127,Hasaki,JP,2021-07-11 18:56:46,35.7333,140.8333,68.4,89,7,6.69
128,Cherskiy,RU,2021-07-11 18:57:28,68.75,161.3,74.84,49,8,13.62
129,East London,ZA,2021-07-11 18:57:28,-33.0153,27.9116,59.94,88,0,4.61
130,Marawi,PH,2021-07-11 19:01:14,7.9986,124.2928,68.65,93,57,3.29
131,Sao Filipe,CV,2021-07-11 19:01:14,14.8961,-24.4956,72.68,76,81,8.08
132,Strezhevoy,RU,2021-07-11 19:01:14,60.7333,77.5889,42.78,68,80,4.79
133,Ilongero,TZ,2021-07-11 19:01:15,-4.6667,34.8667,63.57,53,83,10.51
134,Ostersund,SE,2021-07-11 18:57:59,63.1792,14.6357,63.61,82,90,3.44
135,Abu Zabad,SD,2021-07-11 19:01:15,12.35,29.25,82.71,55,100,8.34
136,Tual,ID,2021-07-11 19:01:15,-5.6667,132.75,80.85,81,96,17.22
137,Necochea,AR,2021-07-11 18:58:23,-38.5473,-58.7368,58.69,37,0,9.75
138,Henties Bay,NA,2021-07-11 18:58:39,-22.116,14.2845,56.86,83,3,4.38
139,Roros,NO,2021-07-11 19:01:16,62.5747,11.3842,58.84,88,75,6.91
140,Vardo,NO,2021-07-11 19:01:16,70.3705,31.1107,50.2,81,0,8.05
141,Soyo,AO,2021-07-11 19:01:17,-6.1349,12.3689,73.67,86,2,10.56
142,Pevek,RU,2021-07-11 18:57:06,69.7008,170.3133,52.59,69,71,15.41
143,Richards Bay,ZA,2021-07-11 19:01:17,-28.783,32.0377,66.69,78,0,11.21
144,Guerrero Negro,MX,2021-07-11 18:56:40,27.9769,-114.0611,78.06,53,5,15.37
145,Kloulklubed,PW,2021-07-11 19:01:18,7.0419,134.2556,82.65,78,98,9.31
146,Walvis Bay,NA,2021-07-11 18:56:47,-22.9575,14.5053,57.09,82,0,5.75
147,Iquitos,PE,2021-07-11 18:58:45,-3.7481,-73.2472,86.04,66,75,3.44
148,Severo-Yeniseyskiy,RU,2021-07-11 19:01:19,60.3725,93.0408,53.51,98,95,3.2
149,Bolshaya Martynovka,RU,2021-07-11 19:01:19,47.271,41.6679,79.92,53,0,9.01
150,Havre-Saint-Pierre,CA,2021-07-11 18:57:44,50.2334,-63.5986,64.76,72,75,11.5
151,Tiksi,RU,2021-07-11 18:56:50,71.6872,128.8694,37.13,70,6,1.3
152,Dingle,PH,2021-07-11 18:57:09,10.9995,122.6711,76.19,91,19,4.74
153,San Quintin,MX,2021-07-11 19:01:20,30.4833,-115.95,74.26,65,21,11.39
154,Tura,IN,2021-07-11 19:01:20,25.5198,90.2201,77.67,78,92,2.44
155,La Plata,AR,2021-07-11 18:59:00,-34.9215,-57.9545,62.51,31,5,5.17
156,Yatou,CN,2021-07-11 18:59:16,37.15,122.3833,73.08,95,97,5.59
157,Korla,CN,2021-07-11 19:01:21,41.7597,86.1469,79.39,33,100,18.07
158,Los Llanos De Aridane,ES,2021-07-11 18:59:12,28.6585,-17.9182,70.12,91,20,12.66
159,Xinzhi,CN,2021-07-11 19:01:21,36.4989,111.7047,72.28,91,47,1.97
160,Kavaratti,IN,2021-07-11 18:58:23,10.5669,72.642,82.09,80,100,24.32
161,Nikolskoye,RU,2021-07-11 18:57:40,59.7035,30.7861,76.89,77,0,5.14
162,Ganzhou,CN,2021-07-11 19:01:22,28.8184,115.4327,78.49,80,89,5.59
163,Clyde River,CA,2021-07-11 18:55:15,70.4692,-68.5914,53.83,58,75,6.91
164,Acapulco,MX,2021-07-11 18:57:32,16.8634,-99.8901,88.72,60,59,6.67
165,Pascagoula,US,2021-07-11 19:01:23,30.3658,-88.5561,84.42,82,100,10.83
166,Sobolevo,RU,2021-07-11 18:58:02,54.4299,31.8996,73.33,74,71,4.88
167,Lagoa,PT,2021-07-11 18:57:24,39.05,-27.9833,66.61,69,100,15.14
168,Carutapera,BR,2021-07-11 19:01:23,-1.195,-46.02,81.28,79,99,9.1
169,Camacha,PT,2021-07-11 18:58:37,33.0833,-16.3333,77.76,73,75,14.97
170,Nakamura,JP,2021-07-11 19:01:24,32.9833,132.9333,72.66,94,100,4.05
171,Fare,PF,2021-07-11 19:01:25,-16.7,-151.0167,79.36,79,50,21.03
172,Vila Franca Do Campo,PT,2021-07-11 18:57:23,37.7167,-25.4333,70.21,72,72,11.21
173,Puerto Escondido,MX,2021-07-11 18:59:24,15.85,-97.0667,88.05,60,92,9.73
174,Nome,US,2021-07-11 18:58:03,64.5011,-165.4064,53.17,82,90,6.91
175,Jamestown,US,2021-07-11 18:56:26,42.097,-79.2353,69.12,97,90,3.0
176,Namatanai,PG,2021-07-11 19:01:25,-3.6667,152.4333,78.89,81,83,6.89
177,Limoux,FR,2021-07-11 19:01:26,42.9167,2.1667,73.53,40,27,6.44
178,Ugoofaaru,MV,2021-07-11 19:01:27,5.6667,73.0,81.9,81,100,16.71
179,Chokurdakh,RU,2021-07-11 18:57:33,70.6333,147.9167,42.64,89,100,15.77
180,Pisco,PE,2021-07-11 18:57:23,-13.7,-76.2167,66.02,82,90,10.36
181,Ribeira Grande,PT,2021-07-11 18:56:27,38.5167,-28.7,73.8,53,20,14.97
182,Vilhena,BR,2021-07-11 19:00:05,-12.7406,-60.1458,87.8,23,7,4.03
183,Constitucion,CL,2021-07-11 18:58:33,-35.3333,-72.4167,55.31,55,88,11.1
184,Tuatapere,NZ,2021-07-11 18:56:59,-46.1333,167.6833,38.55,88,100,5.61
185,Porto Novo,BJ,2021-07-11 19:01:28,6.4965,2.6036,76.69,79,37,7.0
186,San Jose Del Boqueron,HN,2021-07-11 19:01:28,15.4833,-87.8667,91.96,45,100,5.39
187,Namibe,AO,2021-07-11 18:57:32,-15.1961,12.1522,64.45,91,19,6.91
188,Butaritari,KI,2021-07-11 18:56:36,3.0707,172.7902,82.45,73,99,11.56
189,Saint George,US,2021-07-11 18:57:10,37.1041,-113.5841,112.62,12,24,3.0
190,Ingham,US,2021-07-11 19:01:29,42.6,-84.3833,68.25,89,90,10.36
191,Baiyin,CN,2021-07-11 19:01:29,36.5583,104.2081,68.07,60,20,6.62
192,Sur,OM,2021-07-11 18:57:49,22.5667,59.5289,89.96,60,100,7.76
193,Sedniv,UA,2021-07-11 19:01:30,51.6447,31.565,74.28,57,74,6.04
194,Nalut,LY,2021-07-11 19:01:30,30.3333,10.85,92.26,17,0,19.86
195,Maneadero,MX,2021-07-11 19:01:31,31.7167,-116.5667,78.19,78,13,4.0
196,Yumen,CN,2021-07-11 18:58:40,40.2833,97.2,78.71,26,1,5.44
197,Bambous Virieux,MU,2021-07-11 18:55:07,-20.3428,57.7575,70.21,78,75,16.11
198,Pizarro,CO,2021-07-11 19:01:31,4.9533,-77.366,81.7,75,46,7.83
199,Araouane,ML,2021-07-11 19:01:32,18.9048,-3.5265,81.95,55,100,22.91
200,Severo-Kurilsk,RU,2021-07-11 18:58:38,50.6789,156.125,51.73,95,100,6.51
201,Hithadhoo,MV,2021-07-11 18:57:14,-0.6,73.0833,81.9,70,100,3.98
202,Bathsheba,BB,2021-07-11 18:57:50,13.2167,-59.5167,84.81,79,75,29.93
203,Liberal,US,2021-07-11 19:01:33,37.0431,-100.921,83.43,27,0,14.34
204,Atambua,ID,2021-07-11 19:01:33,-9.1061,124.8925,67.53,82,100,6.08
205,Chuy,UY,2021-07-11 18:56:33,-33.6971,-53.4616,56.71,49,0,3.31
206,Montbrison,FR,2021-07-11 19:01:33,45.6667,4.0833,76.86,78,6,4.41
207,Haines Junction,CA,2021-07-11 18:56:55,60.7522,-137.5108,51.75,62,100,3.44
208,Vanimo,PG,2021-07-11 19:01:34,-2.6741,141.3028,76.93,89,24,4.68
209,Turukhansk,RU,2021-07-11 19:01:34,65.8167,87.9833,39.58,68,70,5.64
210,Bilibino,RU,2021-07-11 18:59:02,68.0546,166.4372,76.17,50,5,5.59
211,Dandong,CN,2021-07-11 19:01:35,40.1292,124.3947,69.58,97,82,2.77
212,Port Elizabeth,ZA,2021-07-11 18:56:47,-33.918,25.5701,52.11,87,40,2.3
213,Pangnirtung,CA,2021-07-11 18:56:53,66.1451,-65.7125,59.0,55,20,17.27
214,Zeya,RU,2021-07-11 18:58:33,53.75,127.2667,56.21,77,36,3.02
215,Kalabo,ZM,2021-07-11 19:01:36,-14.97,22.6814,60.26,30,0,3.36
216,Sitka,US,2021-07-11 18:53:05,57.0531,-135.33,58.95,71,100,5.21
217,Iwanai,JP,2021-07-11 19:01:37,42.9744,140.5089,67.1,97,100,4.05
218,Pangai,TO,2021-07-11 19:01:37,-19.8,-174.35,77.49,83,5,11.74
219,Penzance,GB,2021-07-11 19:01:37,50.1186,-5.5371,61.81,94,88,9.6
220,Bonthe,SL,2021-07-11 19:01:38,7.5264,-12.505,77.58,84,100,10.04
221,Mandalgovi,MN,2021-07-11 19:01:38,45.7625,106.2708,71.28,52,100,7.23
222,Oxford,GB,2021-07-11 18:59:15,51.7522,-1.256,63.64,87,75,5.75
223,Santander De Quilichao,CO,2021-07-11 19:01:39,3.0095,-76.4849,84.81,49,13,5.06
224,Yarmouth,US,2021-07-11 19:01:39,41.7057,-70.2286,80.24,72,1,5.01
225,Shugurovo,RU,2021-07-11 19:01:39,54.5083,52.1326,61.99,55,84,5.23
226,Iskateley,RU,2021-07-11 19:01:40,67.6803,53.1512,40.68,81,10,6.78
227,Coxim,BR,2021-07-11 19:01:40,-18.5067,-54.76,91.72,16,70,4.79
228,Terrace Bay,CA,2021-07-11 19:01:41,48.7834,-87.1,64.6,57,3,5.61
229,Bereznik,RU,2021-07-11 19:01:41,62.8551,42.7072,66.78,75,63,3.27
230,Honiara,SB,2021-07-11 18:57:31,-9.4333,159.95,75.85,84,34,4.18
231,Zharkent,KZ,2021-07-11 19:01:42,44.1628,80.0,63.77,83,8,3.67
232,Timizart,DZ,2021-07-11 19:01:42,36.8,4.2667,89.94,27,3,0.98
233,Saldanha,ZA,2021-07-11 18:57:55,-33.0117,17.9442,51.85,85,0,7.56
234,Liwale,TZ,2021-07-11 19:01:43,-9.7667,37.9333,66.58,72,67,5.28
235,Yar-Sale,RU,2021-07-11 19:01:43,66.8333,70.8333,48.33,55,100,12.06
236,Padang,ID,2021-07-11 18:57:27,-0.9492,100.3543,77.76,88,100,5.19
237,Vestmannaeyjar,IS,2021-07-11 18:56:35,63.4427,-20.2734,56.39,82,40,16.11
238,Hovd,MN,2021-07-11 18:58:31,48.0056,91.6419,66.36,44,100,12.97
239,Porto Nacional,BR,2021-07-11 19:01:44,-10.7081,-48.4172,93.87,24,44,4.03
240,Lazaro Cardenas,MX,2021-07-11 19:01:45,17.9583,-102.2,85.62,70,61,5.21
241,Saint-Louis,SN,2021-07-11 19:01:45,16.3333,-15.0,95.02,30,100,5.35
242,Coahuayana,MX,2021-07-11 19:01:45,18.7333,-103.6833,89.08,64,76,5.82
243,Vao,NC,2021-07-11 18:57:43,-22.6667,167.4833,70.47,65,42,20.15
244,Moron,AR,2021-07-11 18:55:19,-34.6534,-58.6198,64.02,40,3,3.0
245,Airai,TL,2021-07-11 18:58:51,-8.9266,125.4092,55.74,50,100,3.69
246,Angoche,MZ,2021-07-11 19:01:46,-16.2325,39.9086,72.66,83,11,9.06
247,Bugiri,UG,2021-07-11 19:01:46,0.5714,33.7417,67.59,81,100,3.15
248,Yellowknife,CA,2021-07-11 18:56:25,62.456,-114.3525,74.32,56,75,1.99
249,Lakes Entrance,AU,2021-07-11 19:01:47,-37.8811,147.981,41.18,76,100,5.99
250,Sisimiut,GL,2021-07-11 19:01:47,66.9395,-53.6735,49.6,55,87,8.14
251,Derzhavinsk,KZ,2021-07-11 19:01:48,51.1,66.3167,65.08,78,0,13.56
252,Klaksvik,FO,2021-07-11 18:56:28,62.2266,-6.589,54.52,98,100,6.42
253,Bhabua,IN,2021-07-11 19:01:48,25.05,83.6167,85.06,75,99,8.99
254,Mayor Pablo Lagerenza,PY,2021-07-11 19:01:49,-19.9309,-60.7718,94.6,18,0,9.01
255,Santa Cruz,BO,2021-07-11 19:01:49,-17.8,-63.1667,87.76,33,43,9.31
256,Berlevag,NO,2021-07-11 19:01:50,70.8578,29.0864,48.15,81,0,20.71
257,La Ronge,CA,2021-07-11 18:58:06,55.1001,-105.2842,80.85,36,1,6.91
258,Georgetown,MY,2021-07-11 18:56:57,5.4112,100.3354,75.15,94,40,3.44
