City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Akyab,MM,20.15,92.9,81.41,81,100,2.68,overcast clouds
311,Hualmay,PE,-11.0964,-77.6139,68.41,70,32,9.84,scattered clouds
312,Souillac,MU,-20.5167,57.5167,71.98,68,40,13.8,light rain
313,Palana,RU,59.1167,159.9667,50.92,93,100,1.92,overcast clouds
314,Ahipara,NZ,-35.1667,173.1667,58.71,87,37,15.17,scattered clouds
315,Muzhi,RU,65.3667,64.6667,57.81,72,47,7.18,scattered clouds
316,Ukiah,US,39.1502,-123.2078,94.44,21,0,3.47,clear sky
317,Solok,ID,-0.7918,100.6593,70.75,86,20,1.9,few clouds
318,Zhigansk,RU,66.7697,123.3711,45.23,74,59,10.69,broken clouds
319,Agadez,NE,19.75,10.25,98.29,10,21,5.41,few clouds
320,Alice Springs,AU,-23.7,133.8833,42.35,65,0,4.61,clear sky
321,Yar-Sale,RU,66.8333,70.8333,44.65,72,15,7.47,few clouds
322,Tadine,NC,-21.55,167.8833,71.83,91,2,3.56,clear sky
323,Rio Branco,BR,-9.9747,-67.81,90.21,55,75,3.44,broken clouds
324,Jaru,BR,-10.4389,-62.4664,98.22,23,0,3.02,clear sky
325,Isla Mujeres,MX,21.2311,-86.731,84.16,81,99,7.18,overcast clouds
326,Kapuskasing,CA,49.4169,-82.4331,80.69,50,90,8.05,smoke
327,Zaysan,KZ,47.4667,84.8667,65.17,49,9,6.78,clear sky
328,Bodden Town,KY,19.2833,-81.25,88.99,68,40,7.0,scattered clouds
329,Ust-Nera,RU,64.5667,143.2,60.75,45,15,8.7,few clouds
330,Coihaique,CL,-45.5752,-72.0662,44.55,57,75,3.44,broken clouds
331,Gabriel Leyva Solano,MX,25.6667,-108.6417,95.02,44,34,9.4,scattered clouds
332,Jurm,AF,36.8648,70.8342,71.58,41,8,1.57,clear sky
333,Huixtla,MX,15.15,-92.4667,88.79,63,67,4.99,broken clouds
334,Mon,IN,26.75,95.1,72.25,98,89,2.15,overcast clouds
335,Ayan,RU,56.45,138.1667,63.1,60,60,17.25,broken clouds
336,Kharp,RU,66.8014,65.8081,52.7,80,58,2.35,broken clouds
337,Cabedelo,BR,-6.9811,-34.8339,77.67,77,39,13.76,scattered clouds
338,Kiunga,PG,-6.1219,141.2906,72.5,100,100,1.77,overcast clouds
339,Birin,NP,26.8865,88.0718,64.24,94,100,2.42,light rain
340,Barcelos,PT,41.5388,-8.6151,95.29,45,0,8.75,clear sky
341,Prainha,BR,-1.8,-53.48,87.3,55,13,4.52,few clouds
342,Peachland,CA,49.7665,-119.7357,77.14,35,11,2.08,few clouds
343,Husavik,IS,66.0449,-17.3389,62.51,65,22,2.62,few clouds
344,Areka,ET,7.0667,37.7,59.88,96,100,2.66,light rain
345,Sambava,MG,-14.2667,50.1667,70.9,82,19,12.12,light rain
346,Tocopilla,CL,-22.092,-70.1979,64.8,69,72,4.07,broken clouds
347,Gerash,IR,27.6652,54.1371,84.34,63,84,5.57,broken clouds
348,Marquette,US,46.5333,-87.6335,80.37,55,0,3.94,clear sky
349,Changji,CN,44.0167,87.3167,74.19,40,0,4.47,clear sky
350,Cacoal,BR,-11.4386,-61.4472,98.62,21,0,3.2,clear sky
351,Maceio,BR,-9.6658,-35.7353,80.04,73,75,4.61,broken clouds
352,Middletown,US,39.5151,-84.3983,82.26,77,75,9.22,broken clouds
353,Dingle,PH,10.9995,122.6711,76.98,90,99,6.96,overcast clouds
354,Lasa,IT,46.6166,10.7002,71.62,85,98,7.27,overcast clouds
355,Naze,JP,28.3667,129.4833,78.49,84,93,15.19,overcast clouds
356,Bantou,CN,26.2151,117.4893,74.21,92,99,1.86,overcast clouds
357,Kaka,TM,37.3482,59.6143,87.28,17,14,6.22,few clouds
358,Lakhdenpokhya,RU,61.5198,30.1992,67.8,53,0,3.83,clear sky
359,Beni Suef,EG,29.0731,31.0979,95.54,18,0,8.77,clear sky
360,Palmas,BR,-10.2128,-48.3603,93.07,38,40,10.36,scattered clouds
361,Ondo,NG,7.1,4.8333,73.15,90,84,3.0,broken clouds
362,Beba,CU,22.4437,-79.7253,87.51,58,2,12.66,clear sky
363,Touros,BR,-5.1989,-35.4608,79.7,67,11,16.22,few clouds
364,Chicama,PE,-7.8447,-79.1469,64.94,59,40,10.27,scattered clouds
365,Nouadhibou,MR,20.931,-17.0347,73.38,78,0,16.11,clear sky
366,Mayo,US,38.8876,-76.5119,97.3,71,0,10.0,clear sky
367,Chifeng,CN,42.2683,118.9636,70.14,87,85,5.41,overcast clouds
368,Puerto Madryn,AR,-42.7692,-65.0385,46.4,63,96,27.6,overcast clouds
369,Bilibino,RU,68.0546,166.4372,56.32,74,96,3.36,overcast clouds
370,Huarmey,PE,-10.0681,-78.1522,70.36,68,31,11.92,scattered clouds
371,Hamilton,US,39.1834,-84.5333,82.36,78,82,1.99,broken clouds
372,Port Hardy,CA,50.6996,-127.4199,60.98,72,75,6.91,broken clouds
373,Jilib,SO,0.4883,42.7854,75.13,76,7,11.83,clear sky
374,Ravar,IR,31.2656,56.8055,89.1,35,99,4.09,overcast clouds
375,Talakan,RU,50.3167,130.3667,60.84,88,15,1.61,few clouds
376,Alekseyevka,RU,50.6309,38.6903,74.03,67,73,5.21,broken clouds
377,Drayton Valley,CA,53.2168,-114.9854,55.9,92,98,4.47,overcast clouds
378,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,93,75,20.71,mist
379,Boende,CD,-0.2167,20.8667,84.6,41,90,1.74,overcast clouds
380,Kununurra,AU,-15.7667,128.7333,62.58,72,17,3.44,few clouds
381,Careiro Da Varzea,BR,-3.2003,-59.8119,88.41,52,17,2.53,few clouds
382,Rio Gallegos,AR,-51.6226,-69.2181,39.25,81,0,4.61,clear sky
383,Kulykiv,UA,50.3142,24.8176,70.32,80,74,5.91,broken clouds
384,Bismarck,US,46.8083,-100.7837,88.88,56,1,4.0,clear sky
385,Kuching,MY,1.55,110.3333,77.22,94,20,0.0,few clouds
386,Vallenar,CL,-28.5708,-70.7581,81.88,4,91,2.75,overcast clouds
387,Purpe,RU,64.4803,76.6897,51.46,81,100,5.64,overcast clouds
388,Rapid City,US,44.0805,-103.231,89.73,42,0,3.0,clear sky
389,Kaitangata,NZ,-46.2817,169.8464,46.47,94,100,6.6,overcast clouds
390,Nanortalik,GL,60.1432,-45.2371,52.47,70,96,16.84,overcast clouds
391,Hay River,CA,60.8156,-115.7999,55.38,54,75,5.75,broken clouds
392,Wad Rawah,SD,15.1603,33.1397,91.89,39,94,10.63,overcast clouds
393,Blythe,US,33.6103,-114.5964,101.03,23,87,11.05,overcast clouds
394,Katsuura,JP,35.1333,140.3,78.12,93,5,3.91,clear sky
395,Kampong Cham,KH,11.9934,105.4635,77.54,90,98,5.82,overcast clouds
396,Peniche,PT,39.3558,-9.3811,81.88,86,1,10.2,clear sky
397,Abasolo,MX,20.45,-101.5167,77.4,46,99,3.8,overcast clouds
398,Wukari,NG,7.85,9.7833,77.79,79,95,6.24,overcast clouds
399,Pindi Gheb,PK,33.2402,72.2661,101.88,33,8,8.03,clear sky
400,Sorong,ID,-0.8833,131.25,78.57,86,99,11.97,overcast clouds
401,Blagodatnoye,RU,45.3997,42.5867,83.32,33,47,4.9,scattered clouds
402,Puerto Narino,CO,-3.7703,-70.3831,75.15,88,53,3.22,broken clouds
403,Mezhdurechensk,RU,53.6942,88.0603,54.16,97,85,3.42,overcast clouds
404,Tanda,IN,26.55,82.65,80.85,86,100,6.44,overcast clouds
405,Oistins,BB,13.0667,-59.5333,81.34,77,19,17.05,few clouds
406,Brindisi,IT,40.5833,17.6667,76.96,62,49,5.82,scattered clouds
407,Finnsnes,NO,69.2296,17.9811,56.01,76,97,11.68,overcast clouds
408,Aldan,RU,58.6031,125.3894,56.84,73,7,6.17,clear sky
409,Liverpool,GB,53.4106,-2.9779,84.15,51,4,10.36,clear sky
410,Tiznit,MA,29.5833,-9.5,97.3,18,12,5.17,few clouds
411,Ambovombe,MG,-25.1667,46.0833,66.99,76,0,10.71,clear sky
412,Mweka,CD,-4.85,21.5667,77.67,30,89,1.45,overcast clouds
413,Sola,VU,-13.8833,167.55,80.62,79,16,18.99,few clouds
414,San Cristobal,VE,7.7669,-72.225,79.97,56,59,7.45,light rain
415,Port-Cartier,CA,50.0334,-66.8654,70.93,56,74,6.29,broken clouds
416,Thunder Bay,CA,48.4001,-89.3168,80.58,52,40,0.0,smoke
417,Emborion,GR,40.4833,21.55,84.31,34,84,5.97,broken clouds
418,Panama City,PA,8.9936,-79.5197,87.75,71,40,3.44,thunderstorm
