City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Sechura,PE,76.68,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
531,Alfred,US,81.1,light rain,42.2542,-77.7906,Gamma Theta Gamma
532,Kerema,PG,76.71,overcast clouds,-7.9631,145.7785,Frena Lodge
533,Fare,PF,79.23,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
534,Karlskrona,SE,75.65,clear sky,56.1616,15.5866,First Hotel Statt
536,Hue,VN,84.31,few clouds,16.4667,107.6,Saigon Morin Hotel
537,Vieux-Habitants,GP,85.57,scattered clouds,16.0589,-61.7659,Gîtes Dardanelle
538,Bose,IT,84.96,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
540,Merrill,US,79.11,scattered clouds,45.1805,-89.6835,Prairie Motel
545,Grafton,US,88.2,overcast clouds,42.207,-71.6856,The Grafton Inn
547,Puerto Cabezas,NI,82.8,overcast clouds,14.0351,-83.3888,Cabaña Caribe
548,Bandarbeyla,SO,79.05,overcast clouds,9.4942,50.8122,JABIR HOTEL
549,Polson,US,82.72,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
555,Fier,AL,75.94,clear sky,40.7239,19.5561,Hotel Fieri
556,Ruidoso,US,83.26,clear sky,33.3317,-105.673,Inn of the Mountain Gods
559,Mitzic,GA,76.15,broken clouds,0.7821,11.549,Motel Emys
563,Kindu,CD,82.98,overcast clouds,-2.95,25.95,Résidence Okanda
571,Shiyan,CN,75.79,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
572,Monrovia,LR,76.77,moderate rain,6.3005,-10.7969,Sunset Inn
578,Zhanakorgan,KZ,84.36,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
583,Vila Velha,BR,77.4,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
584,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
586,Besuki,ID,77.32,broken clouds,-7.7338,113.6979,Pak pri house
590,Keti Bandar,PK,84.69,broken clouds,24.1447,67.4497,Haji laloo memon house
591,Pozo Colorado,PY,77.65,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
593,Amreli,IN,83.21,overcast clouds,21.6167,71.2333,Sanskar Hostel & PG Center
596,Salinopolis,BR,83.91,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
597,Nara,JP,77.92,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
601,Superior,US,88.7,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
604,Sao Jose Da Coroa Grande,BR,78.78,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
605,Honiara,SB,76.77,scattered clouds,-9.4333,159.95,Heritage Park Hotel
